taxon_level	taxon_name	class_name	subclass_or_superorder_name	order_name	suborder_name	superfamily_name	family_name	subfamily_name	tribe_name	genus_name	species_name	author	STG_TIME_STAMP
family	Prionogalidae	MAMMALIA	EUTHERIA	INCERTAE SEDIS			Prionogalidae						2024/05/10 11:36:29.325
genus	Prionogale	MAMMALIA	EUTHERIA	INCERTAE SEDIS			Prionogalidae			Prionogale			2024/05/10 11:36:29.325
species	Prionogale breviceps	MAMMALIA	EUTHERIA	INCERTAE SEDIS			Prionogalidae			Prionogale	breviceps		2024/05/10 11:36:29.325
subclass	METATHERIA	MAMMALIA	METATHERIA										2024/05/10 11:36:29.325
family	Derorhynchidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae						2024/05/10 11:36:29.325
genus	Coona	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Coona			2024/05/10 11:36:29.325
species	Coona pattersoni	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Coona	pattersoni		2024/05/10 11:36:29.325
genus	Derorhynchus	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Derorhynchus			2024/05/10 11:36:29.325
species	Derorhynchus minutus	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Derorhynchus	minutus		2024/05/10 11:36:29.325
species	Derorhynchus singularis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Derorhynchus	singularis		2024/05/10 11:36:29.325
genus	Pauladelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Pauladelphys			2024/05/10 11:36:29.325
species	Pauladelphys juanjoi	MAMMALIA	METATHERIA	INCERTAE SEDIS			Derorhynchidae			Pauladelphys	juanjoi		2024/05/10 11:36:29.325
family	Herpetotheriidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae						2024/05/10 11:36:29.325
genus	Morotodon	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae			Morotodon		Crespo et al 2022	2024/05/10 11:36:29.325
species	Morotodon aenigmaticus	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae			Morotodon	aenigmaticus	Crespo et al 2022	2024/05/10 11:36:29.325
genus	Rumiodon	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae			Rumiodon			2024/05/10 11:36:29.325
species	Rumiodon inti	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae			Rumiodon	inti		2024/05/10 11:36:29.325
subfamily	Herpetotheriinae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae					2024/05/10 11:36:29.325
genus	Copedelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Copedelphys			2024/05/10 11:36:29.325
species	Copedelphys innominata	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Copedelphys	innominata		2024/05/10 11:36:29.325
species	Copedelphys stevensoni	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Copedelphys	stevensoni		2024/05/10 11:36:29.325
species	Copedelphys titanelix	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Copedelphys	titanelix		2024/05/10 11:36:29.325
genus	Esteslestes	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Esteslestes			2024/05/10 11:36:29.325
species	Esteslestes ensis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Esteslestes	ensis		2024/05/10 11:36:29.325
genus	Herpetotherium	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium			2024/05/10 11:36:29.325
species	Herpetotherium comstocki	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	comstocki		2024/05/10 11:36:29.325
species	Herpetotherium edwardi	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	edwardi		2024/05/10 11:36:29.325
species	Herpetotherium fugax	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	fugax		2024/05/10 11:36:29.325
species	Herpetotherium knighti	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	knighti		2024/05/10 11:36:29.325
species	Herpetotherium merriami	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	merriami		2024/05/10 11:36:29.325
species	Herpetotherium valens	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	valens		2024/05/10 11:36:29.325
species	Herpetotherium youngi	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Herpetotherium	youngi		2024/05/10 11:36:29.325
genus	Swaindelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Swaindelphys			2024/05/10 11:36:29.325
species	Swaindelphys cifellii	MAMMALIA	METATHERIA	INCERTAE SEDIS			Herpetotheriidae	Herpetotheriinae		Swaindelphys	cifellii		2024/05/10 11:36:29.325
genus	Eobrasilia	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Eobrasilia			2024/05/10 11:36:29.325
species	Eobrasilia coutoi	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Eobrasilia	coutoi		2024/05/10 11:36:29.325
genus	Fieratherium	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Fieratherium			2024/05/10 11:36:29.325
species	Fieratherium sorex	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Fieratherium	sorex		2024/05/10 11:36:29.325
genus	Gaylordia	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Gaylordia		Oliveira and Goin 2015	2024/05/10 11:36:29.325
species	Gaylordia macrocynodonta	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Gaylordia	macrocynodonta		2024/05/10 11:36:29.325
species	Gaylordia mater	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Gaylordia	mater	Oliveira and Goin 2015	2024/05/10 11:36:29.325
genus	Incadelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Incadelphys			2024/05/10 11:36:29.325
species	Incadelphys antiquus	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Incadelphys	antiquus		2024/05/10 11:36:29.325
genus	Minusculodelphis	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Minusculodelphis			2024/05/10 11:36:29.325
species	Minusculodelphis minimus	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Minusculodelphis	minimus		2024/05/10 11:36:29.325
genus	Monodelphopsis	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Monodelphopsis			2024/05/10 11:36:29.325
species	Monodelphopsis travassosi	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Monodelphopsis	travassosi		2024/05/10 11:36:29.325
genus	Szalinia	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Szalinia			2024/05/10 11:36:29.325
species	Szalinia gracilis	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Szalinia	gracilis		2024/05/10 11:36:29.325
genus	Tiulordia	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Tiulordia			2024/05/10 11:36:29.325
species	Tiulordia floresi	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Tiulordia	floresi		2024/05/10 11:36:29.325
genus	Wirunodon	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Wirunodon			2024/05/10 11:36:29.325
species	Wirunodon chanku	MAMMALIA	METATHERIA	INCERTAE SEDIS			incertae sedis			Wirunodon	chanku		2024/05/10 11:36:29.325
family	Jaskhadelphyidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Jaskhadelphyidae						2024/05/10 11:36:29.325
genus	Jaskhadelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Jaskhadelphyidae			Jaskhadelphys			2024/05/10 11:36:29.325
species	Jaskhadelphys minutus	MAMMALIA	METATHERIA	INCERTAE SEDIS			Jaskhadelphyidae			Jaskhadelphys	minutus		2024/05/10 11:36:29.325
genus	Kiruwamaq	MAMMALIA	METATHERIA	INCERTAE SEDIS			Jaskhadelphyidae			Kiruwamaq			2024/05/10 11:36:29.325
species	Kiruwamaq chisu	MAMMALIA	METATHERIA	INCERTAE SEDIS			Jaskhadelphyidae			Kiruwamaq	chisu		2024/05/10 11:36:29.325
family	Pediomyidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pediomyidae						2024/05/10 11:36:29.325
genus	Khasia	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pediomyidae			Khasia			2024/05/10 11:36:29.325
species	Khasia cordillerensis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pediomyidae			Khasia	cordillerensis		2024/05/10 11:36:29.325
family	Pucadelphyidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae						2024/05/10 11:36:29.325
genus	Andinodelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Andinodelphys			2024/05/10 11:36:29.325
species	Andinodelphys cochabambensis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Andinodelphys	cochabambensis		2024/05/10 11:36:29.325
genus	Mizquedelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Mizquedelphys			2024/05/10 11:36:29.325
species	Mizquedelphys pilpinensis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Mizquedelphys	pilpinensis		2024/05/10 11:36:29.325
genus	Pucadelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Pucadelphys			2024/05/10 11:36:29.325
species	Pucadelphys andinus	MAMMALIA	METATHERIA	INCERTAE SEDIS			Pucadelphyidae			Pucadelphys	andinus		2024/05/10 11:36:29.325
family	Sternbergiidae	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae						2024/05/10 11:36:29.325
genus	Carolopaulacoutoia	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Carolopaulacoutoia			2024/05/10 11:36:29.325
species	Carolopaulacoutoia itaboraiensis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Carolopaulacoutoia	itaboraiensis		2024/05/10 11:36:29.325
genus	Didelphopsis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Didelphopsis			2024/05/10 11:36:29.325
species	Didelphopsis cabrerai	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Didelphopsis	cabrerai		2024/05/10 11:36:29.325
genus	Itaboraidelphys	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Itaboraidelphys			2024/05/10 11:36:29.325
species	Itaboraidelphys camposi	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Itaboraidelphys	camposi		2024/05/10 11:36:29.325
genus	Marmosopsis	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Marmosopsis			2024/05/10 11:36:29.325
species	Marmosopsis juradoi	MAMMALIA	METATHERIA	INCERTAE SEDIS			Sternbergiidae			Marmosopsis	juradoi		2024/05/10 11:36:29.325
subclass	PROTOTHERIA	MAMMALIA	PROTOTHERIA										2024/05/10 11:36:29.325
order	TACHYGLOSSA	MAMMALIA	PROTOTHERIA	TACHYGLOSSA									2024/05/10 11:36:29.325
family	Tachyglossidae	MAMMALIA	PROTOTHERIA	TACHYGLOSSA			Tachyglossidae						2024/05/10 11:36:29.325
order	MULTITUBERCULATA	MAMMALIA		MULTITUBERCULATA									2024/05/10 11:36:29.325
family	Eucosmodontidae	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae						2024/05/10 11:36:29.325
genus	Boffius	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Boffius			2024/05/10 11:36:29.325
species	Boffius splendidus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Boffius	splendidus		2024/05/10 11:36:29.325
genus	Eucosmodon	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Eucosmodon			2024/05/10 11:36:29.325
species	Eucosmodon americanus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Eucosmodon	americanus		2024/05/10 11:36:29.325
species	Eucosmodon molestus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Eucosmodon	molestus		2024/05/10 11:36:29.325
species	Eucosmodon primus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Eucosmodon	primus		2024/05/10 11:36:29.325
genus	Liotomus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Liotomus			2024/05/10 11:36:29.325
species	Liotomus marshi	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Liotomus	marshi		2024/05/10 11:36:29.325
genus	Stygimys	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys			2024/05/10 11:36:29.325
species	Stygimys camptorhiza	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys	camptorhiza		2024/05/10 11:36:29.325
species	Stygimys jepseni	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys	jepseni		2024/05/10 11:36:29.325
species	Stygimys kuszmauli	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys	kuszmauli		2024/05/10 11:36:29.325
species	Stygimys teilhardi	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys	teilhardi		2024/05/10 11:36:29.325
species	Stygimys vastus	MAMMALIA		MULTITUBERCULATA			Eucosmodontidae			Stygimys	vastus		2024/05/10 11:36:29.325
genus	Anconodon	MAMMALIA		MULTITUBERCULATA			incertae sedis			Anconodon			2024/05/10 11:36:29.325
species	Anconodon cochranensis	MAMMALIA		MULTITUBERCULATA			incertae sedis			Anconodon	cochranensis		2024/05/10 11:36:29.325
species	Anconodon gidleyi	MAMMALIA		MULTITUBERCULATA			incertae sedis			Anconodon	gidleyi		2024/05/10 11:36:29.325
species	Anconodon lewisi	MAMMALIA		MULTITUBERCULATA			incertae sedis			Anconodon	lewisi		2024/05/10 11:36:29.325
genus	Cimexomys	MAMMALIA		MULTITUBERCULATA			incertae sedis			Cimexomys			2024/05/10 11:36:29.325
species	Cimexomys arapahoensis	MAMMALIA		MULTITUBERCULATA			incertae sedis			Cimexomys	arapahoensis		2024/05/10 11:36:29.325
species	Cimexomys gratus	MAMMALIA		MULTITUBERCULATA			incertae sedis			Cimexomys	gratus		2024/05/10 11:36:29.325
species	Cimexomys minor	MAMMALIA		MULTITUBERCULATA			incertae sedis			Cimexomys	minor		2024/05/10 11:36:29.325
genus	Fractinus	MAMMALIA		MULTITUBERCULATA			incertae sedis			Fractinus			2024/05/10 11:36:29.325
species	Fractinus palmorum	MAMMALIA		MULTITUBERCULATA			incertae sedis			Fractinus	palmorum		2024/05/10 11:36:29.325
genus	Hainina	MAMMALIA		MULTITUBERCULATA			incertae sedis			Hainina			2024/05/10 11:36:29.325
species	Hainina belgica	MAMMALIA		MULTITUBERCULATA			incertae sedis			Hainina	belgica		2024/05/10 11:36:29.325
species	Hainina godfriauxi	MAMMALIA		MULTITUBERCULATA			incertae sedis			Hainina	godfriauxi		2024/05/10 11:36:29.325
genus	Neoliotomus	MAMMALIA		MULTITUBERCULATA			incertae sedis			Neoliotomus			2024/05/10 11:36:29.325
species	Neoliotomus conventus	MAMMALIA		MULTITUBERCULATA			incertae sedis			Neoliotomus	conventus		2024/05/10 11:36:29.325
species	Neoliotomus ultimus	MAMMALIA		MULTITUBERCULATA			incertae sedis			Neoliotomus	ultimus		2024/05/10 11:36:29.325
family	Microcosmodontidae	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae						2024/05/10 11:36:29.325
genus	Acheronodon	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Acheronodon			2024/05/10 11:36:29.325
species	Acheronodon garbani	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Acheronodon	garbani		2024/05/10 11:36:29.325
species	Acheronodon vossae	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Acheronodon	vossae		2024/05/10 11:36:29.325
genus	Allocosmodon	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Allocosmodon			2024/05/10 11:36:29.325
species	Allocosmodon woodi	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Allocosmodon	woodi		2024/05/10 11:36:29.325
genus	Microcosmodon	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Microcosmodon			2024/05/10 11:36:29.325
species	Microcosmodon arcuatus	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Microcosmodon	arcuatus		2024/05/10 11:36:29.325
species	Microcosmodon conus	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Microcosmodon	conus		2024/05/10 11:36:29.325
species	Microcosmodon harleyi	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Microcosmodon	harleyi		2024/05/10 11:36:29.325
species	Microcosmodon rosei	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Microcosmodon	rosei		2024/05/10 11:36:29.325
genus	Pentacosmodon	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Pentacosmodon			2024/05/10 11:36:29.325
species	Pentacosmodon bowensis	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Pentacosmodon	bowensis		2024/05/10 11:36:29.325
species	Pentacosmodon pronus	MAMMALIA		MULTITUBERCULATA			Microcosmodontidae			Pentacosmodon	pronus		2024/05/10 11:36:29.325
family	Neoplagiaulacidae	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae						2024/05/10 11:36:29.325
genus	Ectypodus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus			2024/05/10 11:36:29.325
species	Ectypodus aphronorus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	aphronorus		2024/05/10 11:36:29.325
species	Ectypodus childei	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	childei		2024/05/10 11:36:29.325
species	Ectypodus elaphus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	elaphus		2024/05/10 11:36:29.325
species	Ectypodus lovei	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	lovei		2024/05/10 11:36:29.325
species	Ectypodus musculus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	musculus		2024/05/10 11:36:29.325
species	Ectypodus powelli	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	powelli		2024/05/10 11:36:29.325
species	Ectypodus szalayi	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	szalayi		2024/05/10 11:36:29.325
species	Ectypodus tardus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Ectypodus	tardus		2024/05/10 11:36:29.325
genus	Krauseia	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Krauseia			2024/05/10 11:36:29.325
species	Krauseia clemensi	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Krauseia	clemensi		2024/05/10 11:36:29.325
genus	Mesodma	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma			2024/05/10 11:36:29.325
species	Mesodma ambigua	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	ambigua		2024/05/10 11:36:29.325
species	Mesodma formosa	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	formosa		2024/05/10 11:36:29.325
species	Mesodma gardieldensis	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	gardieldensis		2024/05/10 11:36:29.325
species	Mesodma hensleighi	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	hensleighi		2024/05/10 11:36:29.325
species	Mesodma pygmaea	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	pygmaea		2024/05/10 11:36:29.325
species	Mesodma thompsoni	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mesodma	thompsoni		2024/05/10 11:36:29.325
genus	Mimetodon	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mimetodon			2024/05/10 11:36:29.325
species	Mimetodon churchilli	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mimetodon	churchilli		2024/05/10 11:36:29.325
species	Mimetodon krausei	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mimetodon	krausei		2024/05/10 11:36:29.325
species	Mimetodon silberlingi	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Mimetodon	silberlingi		2024/05/10 11:36:29.325
genus	Neoplagiaulax	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax			2024/05/10 11:36:29.325
species	Neoplagiaulax annae	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	annae		2024/05/10 11:36:29.325
species	Neoplagiaulax cimolodontoides	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	cimolodontoides		2024/05/10 11:36:29.325
species	Neoplagiaulax copei	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	copei		2024/05/10 11:36:29.325
species	Neoplagiaulax eocaenus	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	eocaenus		2024/05/10 11:36:29.325
species	Neoplagiaulax grangeri	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	grangeri		2024/05/10 11:36:29.325
species	Neoplagiaulax hazeni	MAMMALIA		MULTITUBERCULATA			Neoplagiaulacidae			Neoplagiaulax	hazeni		2024/05/10 11:36:29.325
